##ana of NCBI 16S Microbial Blast Database
##use NCBI Taxonomy Database as a reference
##gi number 2 taxid
##auther: Ke Zhang
##data: 20180725
#gi	taxid
219846424	47960
566084779	472111
631251758	658456
343206329	61016
343200928	452286
636559174	68213
343202522	123820
310975222	1559
219846876	57043
636560232	77098
645321188	1035707
343198995	440515
645321950	347257
659364527	1502
636559717	67312
343206174	416348
645320566	1087481
631251307	66427
645321556	60890
444303821	529
507148057	232259
343198679	311234
631251637	574930
343200141	85558
636559534	54914
343202492	228655
254971321	1151117
636559548	46677
672239005	1033743
631252043	909287
343200897	431273
343206042	505341
631252491	171279
265678575	80854
343206290	47871
636560495	1791
343202959	325473
444303929	1096
645320306	748120
219846896	84096
343200210	180194
645321852	1044
310975119	56956
343198761	345312
559795281	471511
645320474	112900
636559284	364030
645319806	261685
699005418	1348245
631252258	437163
645322562	1341692
444304052	138563
343201612	293388
645321365	1172565
310975226	132926
224581441	67378
343200526	68258
343202568	246
343201347	1421
219846668	46470
636560418	630626
343203506	356302
219846083	215580
636558641	84643
343201154	53431
636560237	499207
631252569	51101
636559642	28898
343198970	427920
343198572	270368
343206296	47860
636559613	40318
219878487	263474
636559158	85402
343206052	839
343206091	859321
645321219	1051139
636559347	1921
645322203	28223
343201514	265175
631251559	240427
310975112	61597
636559658	1900
343201001	533323
631252963	29573
645322199	1650
343204868	28044
444303782	478009
219857188	228604
785497611	1521
645320335	1379680
566085573	1177982
219857363	86265
645319888	653931
631252410	28099
310975156	131111
636560521	1122204
636559124	380
636559109	145285
645321415	796890
343200856	153730
645322387	561007
741238532	526729
645322364	756272
645322011	55209
636558424	317
566085039	1209948
645321045	35703
343202541	47735
343200874	415215
219846396	743966
444303791	243233
645321441	1176721
219846713	154117
444439438	573234
343205845	445960
566084999	651823
343201051	33920
566084853	546024
343205733	65497
636559432	1219056
636558468	473531
310975051	29299
636559202	864565
636559102	217512
631252174	577470
343202839	36822
645321192	1033739
343201597	288992
645319980	662858
219857393	92407
636558993	304
645321688	1229831
444303820	29291
636560040	1353276
343201259	94136
631250913	65095
645321338	1123043
444439533	680198
636560036	67318
631252881	564
343204914	37480
636558526	43662
545589113	2382
265679047	84026
343201333	75294
631251528	72360
219846647	43678
343206239	779
631253056	295428
645322483	1252
636560405	546892
636559821	158850
631251553	486407
219857422	111143
636558893	60890
631252187	225324
343200388	66904
343205840	443615
219878342	171692
343198667	307486
566085007	657409
507148037	1186051
343206355	426
566084925	598653
265678660	92647
672238936	444597
219857472	129985
228720499	42443
343201117	158897
636560015	449461
645322216	456
265678687	206042
559795160	933073
558508590	546022
219846724	29447
265678656	853
444439415	396595
507148023	1206109
636559050	529005
444303973	627192
566084912	568790
444304001	84163
343202489	60450
636559271	307497
631253038	38313
645320444	915
265679034	64323
219722939	219301
636560588	574651
343206131	523845
586661493	81417
343202772	319054
219857647	39695
636558624	69960
645320892	935223
343204939	285567
636559947	445708
631253228	66219
310975227	132925
343206273	144184
631252707	71451
343203104	345370
645321421	1186196
636560807	645470
343200486	285560
645321272	68215
559795164	2142
659364909	42817
343206270	1658
631250927	59512
265678864	1098
219846898	84031
219846062	134602
545589041	39484
636560261	1123371
343201187	69527
645322293	33911
219846333	37752
343206115	1580
343206167	31906
631251045	66370
444304114	104
636559839	314255
645321111	1028745
444439663	107709
253680760	157784
631252128	1655
645320271	728005
219846604	37927
343200992	501023
343198957	417368
636559293	28110
645321599	204
636560680	592050
631252027	881268
636559075	1584
672238914	295585
343206039	556531
343205787	428992
542123254	214325
566085658	1325436
636559750	382777
219857211	60894
254971248	1121009
636559078	186651
636558851	575978
631250943	113564
631251232	43759
310975257	50712
219846897	2738
631251453	53501
566085565	1181887
219856875	52763
645321624	1458934
343201727	1123225
645319811	937334
265678551	201185
343202298	417203
636558431	83984
558508638	106207
566084872	589035
631252911	198706
343201414	190387
310975097	56426
631251114	66893
636559597	45677
343201022	83784
444439714	187452
631251713	1423745
636560022	29282
636559328	66870
444303835	223967
559795147	2226
636560759	630515
636560684	592377
631251933	741659
559795117	679732
343202516	51161
631251038	426355
343205830	442709
343200460	68230
343199058	146035
631252876	40216
343199095	115335
343198740	392711
343201470	238015
631251395	371720
645320971	1077675
343202416	267800
343200671	361280
343200338	269069
631252271	387340
645322674	554
636559544	42093
636559617	1788
636559333	68189
265678599	100225
265678911	1799
444304058	195102
566085651	1302730
645320752	182220
558508624	680283
343202338	442525
265678474	115778
636560382	540988
219878439	215691
343200710	1127672
645321642	390333
343200698	364032
695134882	36849
310975153	44251
343202434	166793
631251992	797535
631252851	28107
219857457	83526
343200170	33899
343202845	67381
343201020	1139996
343202886	68042
645320116	352869
343201505	1622
636558943	201829
645322585	28184
343205880	454600
636558475	79909
636559986	55207
343202646	280237
636558655	114
566084937	741074
636560395	494026
636559082	134964
636560624	322509
507147992	1069533
699005354	980271
219856890	86189
566085374	1036133
645321825	2139
228721487	582839
343206254	29489
645321138	33995
343200272	2699
559795148	45851
631251531	1451
636558915	184870
343200289	231440
219878286	134533
545589103	1588
343198682	322601
559795157	1541
485099080	1246955
265678382	66199
645322098	1638
636558835	36809
219857626	191026
